Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5028,10,7.3,21369.91385470425,262258.63001190947,35005329.0,22366505.0,50289792.0,461069043.0,458403860.0,401786075.0
The Rashtrasant Tukadoji Maharaj Nagpur University,720,27,6.67,14799.35609103079,292673.36010709504,3757610.0,2535988.0,4761521.0,89059000.0,69126000.0,60442000.0
Sri Krishna College of Technology,4056,4,8.6,39887.806403940886,193020.2935960591,66509223.0,51461163.0,43974108.0,321173506.0,246225333.0,216263553.0
NMAM Institute of Technology,4156,8,8.24,26688.651296829972,219797.09702209415,49346941.0,33758447.0,28026156.0,332087659.0,305491449.0,277656004.0
P E S College of Engineering,2984,2,9.35,29040.98359008707,279694.5167448091,29016047.0,47498011.0,10202319.0,290561828.0,271263878.0,273342121.0
Army Institute of Technology,1296,0,9.92,59701.484567901236,357791.0339506173,26433916.0,25590208.0,25349000.0,175197732.0,144899448.0,143600000.0
New Horizon College of Engineering,4770,5,7.64,19408.781780104713,234130.55643979058,23609197.0,31124017.0,37943719.0,386362261.0,378715286.0,352895860.0
Vardhaman College of Engineering,3816,2,5.6,7638.505238344683,184558.7467260346,11168649.0,10013330.0,7981834.0,250520118.0,239748170.0,214377007.0
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1032,55,9.29,24593.18123275069,369159.51701931923,3685982.0,11899021.0,11147785.0,144040432.0,134002972.0,123232991.0
Pondicherry Engineering College,2882,188,9.18,16238.504234527687,428174.4153094463,6997147.0,2770783.0,40084278.0,487856034.0,419950761.0,406688660.0
National Institute of Technology Puducherry,910,55,8.37,70669.3243523316,224578.31088082903,32022876.0,21176072.0,14996950.0,114056850.0,63746751.0,38914469.0
Anurag University,5166,2,6.47,6408.893188854489,200639.7060758514,14444093.0,7114485.0,11562582.0,410071922.0,315133931.0,311700148.0
Chandigarh Engineering College,5424,0,0.07,5460.364306784661,153805.2026179941,7975923.0,7707844.0,13933249.0,317273681.0,271018929.0,245946809.0
"National Institute of Food Technology, Entrepreneurship & Management",879,74,16.61,371579.0608604407,412228.37565582374,35600000.0,297760529.0,20754316.0,139400000.0,127401034.0,126052608.0
Yeshwantrao Chavan College of Engineering,4346,1,7.59,12956.317920404877,299346.8587531631,16956034.0,16466043.0,22899037.0,455816016.0,440822202.0,404622577.0
Dr. Vishwanath Karad MIT World Peace University,5760,124,10.25,47560.117267165195,354441.65244731476,89357716.0,69185461.0,121300553.0,727933174.0,668265066.0,689336443.0
SVKM`s Narsee Monjee Institute of Management Studies,3290,90,9.15,3706.459171597633,296112.00621301774,1985186.0,2240807.0,8301839.0,399140438.0,311433116.0,290285027.0
BMS Institute of Technology & Management,2772,2,8.97,12424.534607065609,270238.312184571,17806995.0,11464375.0,5194289.0,283938677.0,252992990.0,212709411.0
Nirma University,4035,16,10.33,32392.848679338436,397278.1925450506,41265682.0,51177090.0,38780658.0,560405943.0,521273827.0,527694188.0
"Amity University, Gwalior",680,21,7.12,18749.363766048504,214522.13124108416,6088950.0,2296817.0,4757537.0,56771598.0,48731963.0,44876453.0
CVR College Of Engineering,5124,2,6.09,22594.576667967227,201060.48361295357,42330175.0,38203164.0,35286461.0,376989389.0,347215342.0,306431308.0
"Government Engineering College, Thrissur",2410,55,9.59,27779.165111561866,452167.2239350913,37186950.0,12858633.0,18430059.0,384687876.0,338510124.0,391394207.0
"Jain University, Bangalore",5074,150,6.73,22402.03120214395,164479.1625191424,32954922.0,63260619.0,20812670.0,376082813.0,291157382.0,191998950.0
Maulana Abul Kalam Azad University of Technology,821,19,11.29,13105.52738095238,191380.49761904762,2206064.0,1821000.0,6981579.0,63834864.0,41547000.0,55377754.0
Institute of Aeronautical Engineering,4368,0,5.64,22094.484661172162,144878.20993589744,40515718.0,28085818.0,27907173.0,233908493.0,219522464.0,179397064.0
National Institute of Technology Arunachal Pradesh,980,42,12.83,165339.81017612523,460084.7446183953,85071195.0,31358086.0,52548005.0,204420314.0,155681577.0,110104718.0
Indira Gandhi Delhi Technical University for Women,1839,63,8.34,22485.10094637224,218804.9716088328,25904888.0,11506437.0,5355337.0,144461627.0,144377313.0,127328116.0
Sant Longowal Institute of Engineering & Technology,2581,120,12.32,33430.43021103295,488931.0037023325,31055942.0,22197650.0,37042000.0,465254030.0,505637990.0,349710621.0
"Silicon Institute of Technology (SIT), Bhubaneswar",2268,0,6.39,12718.805555555555,199356.26322751323,6689622.0,13597363.0,8559266.0,160724575.0,148101123.0,143314307.0
Kongu Engineering College,7338,17,6.94,13891.698572399728,170785.83847722638,34849093.0,28625203.0,38699147.0,443386457.0,411842992.0,400900393.0
Goka Raju Ranga Raju Institute of Engineering & Technology,5088,0,6.45,15774.377358490567,188710.79972484277,30620340.0,31883517.0,17756175.0,339689172.0,334289646.0,286181731.0
Annamalai University,4610,131,9.42,8217.787808479225,707989.9616114744,3533161.0,11723245.0,23704126.0,1123207085.0,1125642982.0,1107730341.0
Rajiv Gandhi Institute of Petroleum Technology,636,49,17.34,259097.35912408758,568415.5051094891,121211273.0,41467237.0,14803181.0,156018657.0,128062311.0,105283653.0
Nitte Meenakshi Institute of Technology,4566,17,7.85,20316.839188304602,202955.36177176522,40929149.0,38723853.0,13459072.0,328755326.0,312115950.0,289273147.0
Institute of Engineering & Management,2988,0,9.64,47921.934738955824,194359.93206157966,64093246.0,42823557.0,36273938.0,238189054.0,160424023.0,182134400.0
R.M.K. Engineering College,3228,4,8.56,16298.414913366336,278238.4214108911,25393606.0,16370821.0,10912050.0,296518871.0,300119622.0,302628085.0
Noida Institute of Engineering & Technology,5481,0,6.38,21734.091954022988,185729.7027914614,45323705.0,44963262.0,28837591.0,349242074.0,339465837.0,329276590.0
Hindustan Institute of Technology and Science (HITS),6268,71,5.33,20882.0184571699,159700.31803123522,31470709.0,53738185.0,47162221.0,348270634.0,336153365.0,327916317.0
