Name,Intake,Admitted,Graduated,Placed,Higher,GUE
"Vignan's Foundation for Science, Technology and Research",4368,3997,3680,2201,246,15.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,3348,2818,2418,1936,115,12.92
Chitkara University,3582,3215,3054,2022,252,15.0
National Institute of Technology Manipur,905,685,603,173,48,12.49
National Institute of Foundry and Forge Technology (NIFFT),761,583,523,336,36,12.89
Veer Surendra Sai University of Technology,4152,3697,3762,1734,594,15.0
Maharaja Sayajirao University of Baroda,3465,3465,3008,1858,765,14.16
Manav Rachna International Institute of Research & Studies,2361,2220,2044,1735,164,15.0
Shri Ramdeobaba College of Engineering and Management,2808,2772,2777,2344,196,15.0
Punjab Technical University,500,184,139,58,1,5.21
Saveetha Institute of Medical and Technical Sciences,2730,2730,2428,851,156,15.0
Vishwakarma Institute of Technology,2660,2654,2908,2331,298,15.0
University College of Engingeering,2236,2040,1917,775,306,15.0
Mepco Schlenk Engineering College,3269,2625,2608,1549,289,13.74
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",1950,1365,1237,958,119,10.93
Dayalbagh Educational Institute,1029,895,937,470,174,15.0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),1692,1635,1622,1256,139,15.0
Government College of Technology,2694,2352,2267,1547,130,14.04
Jaypee University of Information Technology,1905,1554,1413,768,365,13.91
G. H. Raisoni College of Engineering,3282,2926,3884,3654,152,15.0
PSG Institute of Technology and Applied Research,900,866,912,674,98,15.0
Chaitanya Bharathi Institute of Technology,3564,3264,3334,2170,636,15.0
SR University,2556,2276,2005,714,447,14.19
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,3798,3527,3383,2316,221,14.44
The Rashtrasant Tukadoji Maharaj Nagpur University,630,543,583,296,26,14.81
Sri Krishna College of Technology,3204,2757,2844,2502,274,15.0
NMAM Institute of Technology,3234,2946,3050,1701,334,15.0
P E S College of Engineering,2334,2103,2394,1518,371,15.0
Army Institute of Technology,1014,981,940,832,43,15.0
New Horizon College of Engineering,3822,3625,3792,3226,325,15.0
Vardhaman College of Engineering,2970,2798,2666,1865,566,14.89
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,828,820,946,637,157,15.0
Pondicherry Engineering College,2103,1685,1591,1256,140,12.73
National Institute of Technology Puducherry,425,364,352,201,48,15.0
Anurag University,3918,3714,3788,2691,419,15.0
Chandigarh Engineering College,4176,3824,4158,2001,364,15.0
"National Institute of Food Technology, Entrepreneurship & Management",810,778,655,442,149,15.0
Yeshwantrao Chavan College of Engineering,3715,3361,3341,2639,609,13.69
Dr. Vishwanath Karad MIT World Peace University,4636,4545,4340,2922,419,14.37
SVKM`s Narsee Monjee Institute of Management Studies,2135,1912,1796,1138,321,14.4
BMS Institute of Technology & Management,1548,1488,1634,1324,154,15.0
Nirma University,3408,3514,3512,2221,267,15.0
"Amity University, Gwalior",700,650,621,407,176,15.0
CVR College Of Engineering,4104,3919,3407,2007,648,15.0
"Government Engineering College, Thrissur",2010,2048,1790,1026,165,15.0
"Jain University, Bangalore",2169,1698,1483,625,173,12.31
Maulana Abul Kalam Azad University of Technology,646,465,384,161,107,10.84
Institute of Aeronautical Engineering,3108,2698,2675,1714,490,14.2
National Institute of Technology Arunachal Pradesh,1060,618,558,285,100,9.87
Indira Gandhi Delhi Technical University for Women,1343,1160,1079,816,99,15.0
Sant Longowal Institute of Engineering & Technology,2301,817,1715,568,131,9.44
"Silicon Institute of Technology (SIT), Bhubaneswar",1782,1505,1502,1136,114,15.0
Kongu Engineering College,5907,5074,4464,3349,349,12.49
Goka Raju Ranga Raju Institute of Engineering & Technology,3990,3696,3489,2526,334,14.34
Annamalai University,7742,2983,2359,500,287,5.62
Rajiv Gandhi Institute of Petroleum Technology,402,269,202,110,57,9.42
Nitte Meenakshi Institute of Technology,3396,2978,3095,2062,189,14.68
Institute of Engineering & Management,2262,2159,2471,1067,170,15.0
R.M.K. Engineering College,2502,2324,2396,1721,247,15.0
Noida Institute of Engineering & Technology,4428,3750,3827,3112,366,15.0
Hindustan Institute of Technology and Science (HITS),4035,3665,2647,1875,368,11.88
Dr. D. Y. Patil Institute of Technology,2556,2461,2345,2094,91,14.72
Guru Nanak Dev University,1800,1436,1384,1234,150,14.42
Sri Ramakrishna Engineering College,3510,3026,2774,2017,224,13.19
KIET Group of Institutions,3276,3171,3177,2268,100,15.0
Galgotias University,4195,3890,3872,2518,61,15.0
Velagapudi Ramakrishna Siddhartha Engineering College,3996,3745,3679,2035,263,14.7
Sharda University,2530,2189,1528,1006,148,10.98
KLE Technological University,3690,3551,3845,2292,206,15.0
Shri G. S. Institute of Technology & Science,3301,2852,2530,1571,454,13.01
North Eastern Regional Institute of Science & Technology,1596,875,749,319,310,7.96
St. Josephs College of Engineering,4386,4266,3353,2791,303,13.29
Lakshmi Narain College of Technology,3924,3803,3460,2500,591,15.0
Centurion  University  of Technology and Management,2530,2484,2172,1699,401,14.72
Rabindranath Tagore University,1386,1229,1201,531,315,15.0
