Name,Total Research,Total Consultancy,FPPP,S
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,12217087,41367062,0.13,0.11258047025
Jaypee Institute of Information Technology,47107278,3809035,0.2,0.044853046
College of Engineering Trivandrum,68591019,89347294,0.86,0.27481149925
Bharati Vidyapeeth Deemed University College of Engineering,15970038,8777000,0.16,0.0339200285
The Northcap University,3176560,3174352,0.08,0.0103183
B.M.S. College of Engineering,158367344,17439923,0.64,0.1623753155
National Institute of Technology Hamirpur,43293270,80982201,0.66,0.234925455
"C.V. Raman Global University, Odisha",10154219,9582000,0.08,0.03157066425
Siddaganga Institute of Technology,61469079,7989770,0.39,0.06607623425
Coimbatore Institute of Technology,128103047,29915831,0.96,0.17086686275
Shoolini University of Biotechnology and Management Sciences,6891086,4998325,0.24,0.017664127
Tezpur University,169330156,3619256,1.6,0.136045757
Karunya Institute of Technology and Sciences,56865978,36548402,0.31,0.1340204885
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,32235877,41051672,1.4,0.12680608775
Dhirubhai Ambani Institute of Information and Communication Technology,26420962,7623241,0.4,0.038873824
Guru Gobind Singh Indraprastha University,1920000,0,0.04,0.00144
Sri Sairam Engineering College,40707734,32847000,0.32,0.1126483005
Rajalakshmi Engineering College,139112000,57655440,0.58,0.2484726
"Vignan's Foundation for Science, Technology and Research",43780800,30867300,0.21,0.11000385
B. S. Abdur Rahman Crescent Institute of Science and Technology,63460000,63397444,0.66,0.20608861
Chitkara University,59831592,29705733,0.35,0.1191380265
National Institute of Technology Manipur,61848307,4961832,1.28,0.05879081025
National Institute of Foundry and Forge Technology (NIFFT),6797005,2936233,0.29,0.01243833625
Veer Surendra Sai University of Technology,20128100,24259796,0.19,0.075745565
Maharaja Sayajirao University of Baroda,230087145,41568618,1.23,0.27648690375
Manav Rachna International Institute of Research & Studies,34219791,13291282,0.41,0.05889304825
Shri Ramdeobaba College of Engineering and Management,180793,11842177,0.07,0.02974103725
Punjab Technical University,4637220,0,0.08,0.003477915
Saveetha Institute of Medical and Technical Sciences,285691040,48055315,1.22,0.3344065675
Vishwakarma Institute of Technology,51539455,55077730,0.45,0.17634891625
University College of Engingeering,30831647,22864841,0.47,0.08028583775
Mepco Schlenk Engineering College,25447012,1727917,0.15,0.0234050515
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",32327482,3379715,0.31,0.032694899
Dayalbagh Educational Institute,91822446,6014230,1.19,0.0839024095
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),18705549,5034973,0.21,0.02661659425
Government College of Technology,2558605,37022640,0.25,0.09447555375
Jaypee University of Information Technology,27979518,354497,0.27,0.021870881
G. H. Raisoni College of Engineering,815122,44642106,0.24,0.1122166065
PSG Institute of Technology and Applied Research,7188427,1093428,0.14,0.00812489025
Chaitanya Bharathi Institute of Technology,14466467,5624884,0.1,0.02491206025
SR University,21749081,3727158,0.18,0.02562970575
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,18049121,80120884,0.38,0.21383905075
The Rashtrasant Tukadoji Maharaj Nagpur University,11078706,1335000,0.37,0.0116465295
Sri Krishna College of Technology,27391585,22905240,0.27,0.07780678875
NMAM Institute of Technology,19983638,11108138,0.16,0.0427580735
P E S College of Engineering,17341000,3415276,0.16,0.02154394
Army Institute of Technology,6057192,508500,0.41,0.005814144
New Horizon College of Engineering,209605696,32504100,0.91,0.238464522
Vardhaman College of Engineering,27521120,6761470,0.2,0.037544515
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,734000,1637000,0.05,0.004643
Pondicherry Engineering College,174537293,24215784,1.27,0.19144242975
National Institute of Technology Puducherry,26969518,1040100,0.62,0.0228273885
Anurag University,10313533,14298819,0.1,0.04348219725
Chandigarh Engineering College,1783333,12065300,0.06,0.03150074975
