Name,Intake,Outside State,Outside Country
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5244,241,28
The Rashtrasant Tukadoji Maharaj Nagpur University,698,47,0
Sri Krishna College of Technology,3591,382,0
NMAM Institute of Technology,4354,403,0
P E S College of Engineering,2914,638,0
Army Institute of Technology,1314,1284,0
New Horizon College of Engineering,5438,1660,218
Vardhaman College of Engineering,3895,235,8
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1127,20,0
Pondicherry Engineering College,2460,378,0
National Institute of Technology Puducherry,877,569,67
Anurag University,5522,1551,0
Chandigarh Engineering College,5611,3911,0
"National Institute of Food Technology, Entrepreneurship & Management",761,660,0
Yeshwantrao Chavan College of Engineering,4596,265,1
Dr. Vishwanath Karad MIT World Peace University,5949,1151,129
SVKM`s Narsee Monjee Institute of Management Studies,3114,1224,6
BMS Institute of Technology & Management,3070,817,114
Nirma University,4610,550,83
"Amity University, Gwalior",573,103,0
CVR College Of Engineering,4979,1136,0
"Government Engineering College, Thrissur",2634,34,0
"Jain University, Bangalore",3926,2330,478
Maulana Abul Kalam Azad University of Technology,486,105,3
Institute of Aeronautical Engineering,4360,390,3
National Institute of Technology Arunachal Pradesh,625,377,1
Indira Gandhi Delhi Technical University for Women,1611,395,0
Sant Longowal Institute of Engineering & Technology,2335,1782,0
"Silicon Institute of Technology (SIT), Bhubaneswar",2153,1033,0
Kongu Engineering College,6772,51,0
Goka Raju Ranga Raju Institute of Engineering & Technology,5375,203,0
Annamalai University,2425,15,40
Rajiv Gandhi Institute of Petroleum Technology,428,319,0
Nitte Meenakshi Institute of Technology,4334,965,239
Institute of Engineering & Management,2992,1750,232
R.M.K. Engineering College,3100,715,0
Noida Institute of Engineering & Technology,4575,1605,0
Hindustan Institute of Technology and Science (HITS),4725,1207,20
Dr. D. Y. Patil Institute of Technology,3599,537,10
Guru Nanak Dev University,1751,344,5
Sri Ramakrishna Engineering College,4162,53,34
KIET Group of Institutions,4650,247,0
Galgotias University,4835,1928,88
Velagapudi Ramakrishna Siddhartha Engineering College,5158,63,0
Sharda University,2467,1333,421
KLE Technological University,5239,384,6
Shri G. S. Institute of Technology & Science,3446,146,43
North Eastern Regional Institute of Science & Technology,1116,826,0
St. Josephs College of Engineering,5214,110,20
Lakshmi Narain College of Technology,4491,2057,0
Centurion  University  of Technology and Management,2191,688,27
Rabindranath Tagore University,1453,1073,11
National Institute of Technology Uttarakhand,681,370,2
JSS Science and Technology University,4197,196,0
Easwari Engineering College,3518,21,0
International Institute of Information Technology Bhubaneswar,1249,583,10
National Engineering College,2589,7,0
Sona College of Technology,4132,82,63
C M R Institute of Technology,3741,865,79
G.L.Bajaj Institute of Technology and Management,3822,979,0
DIT University,3480,2045,30
The National Institute of Engineering,3600,402,0
K. J. Somaiya College of Engineering,2864,32,74
Kakatiya Institute of Technology & Science,4108,39,6
Walchand College of Engineering,2294,45,14
Sri Venkateswara University,1987,18,9
