Name,median
Sri Krishna College of Technology,403333.3333333333
NMAM Institute of Technology,416666.6666666667
P E S College of Engineering,380000.0
Army Institute of Technology,596666.6666666666
New Horizon College of Engineering,638333.3333333334
Vardhaman College of Engineering,354333.3333333333
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,640000.0
Pondicherry Engineering College,439333.3333333333
National Institute of Technology Puducherry,580000.0
Anurag University,343333.3333333333
Chandigarh Engineering College,427000.0
"National Institute of Food Technology, Entrepreneurship & Management",516833.3333333333
Yeshwantrao Chavan College of Engineering,386666.6666666667
Dr. Vishwanath Karad MIT World Peace University,391666.6666666667
SVKM`s Narsee Monjee Institute of Management Studies,450000.0
BMS Institute of Technology & Management,366666.6666666667
Nirma University,426666.6666666667
"Amity University, Gwalior",310166.6666666667
CVR College Of Engineering,393333.3333333333
"Government Engineering College, Thrissur",356666.6666666667
"Jain University, Bangalore",406000.0
Maulana Abul Kalam Azad University of Technology,320000.0
Institute of Aeronautical Engineering,322333.3333333333
National Institute of Technology Arunachal Pradesh,565000.0
Indira Gandhi Delhi Technical University for Women,783333.3333333334
Sant Longowal Institute of Engineering & Technology,313333.3333333333
"Silicon Institute of Technology (SIT), Bhubaneswar",358333.3333333333
Kongu Engineering College,297200.0
Goka Raju Ranga Raju Institute of Engineering & Technology,348333.3333333333
Annamalai University,215300.0
Rajiv Gandhi Institute of Petroleum Technology,752000.0
Nitte Meenakshi Institute of Technology,370000.0
Institute of Engineering & Management,347000.0
R.M.K. Engineering College,400000.0
Noida Institute of Engineering & Technology,391700.0
Hindustan Institute of Technology and Science (HITS),298333.3333333333
Dr. D. Y. Patil Institute of Technology,516666.6666666667
Guru Nanak Dev University,370000.0
Sri Ramakrishna Engineering College,405333.3333333333
KIET Group of Institutions,376666.6666666667
Galgotias University,331666.6666666667
Velagapudi Ramakrishna Siddhartha Engineering College,375666.6666666667
Sharda University,343333.3333333333
KLE Technological University,436000.0
Shri G. S. Institute of Technology & Science,522071.0
North Eastern Regional Institute of Science & Technology,395000.0
St. Josephs College of Engineering,361662.0
Lakshmi Narain College of Technology,358333.3333333333
Centurion  University  of Technology and Management,302000.0
Rabindranath Tagore University,347333.3333333333
National Institute of Technology Uttarakhand,597000.0
JSS Science and Technology University,449333.3333333333
Easwari Engineering College,456666.6666666667
International Institute of Information Technology Bhubaneswar,363333.3333333333
National Engineering College,252000.0
Sona College of Technology,260000.0
C M R Institute of Technology,391000.0
G.L.Bajaj Institute of Technology and Management,356666.6666666667
DIT University,366666.6666666667
The National Institute of Engineering,441000.0
K. J. Somaiya College of Engineering,441666.6666666667
Kakatiya Institute of Technology & Science,358000.0
Walchand College of Engineering,500000.0
Sri Venkateswara University,341666.6666666667
