Name,Intake,Outside State,Outside Country,GUE
Defence Institute of Advanced Technology,439,278,2,12.17
National Institute of Technology Meghalaya,703,379,24,13.98
Maulana Azad National Institute of Technology,4183,2055,177,15.0
Chandigarh University,13306,11583,334,15.0
Jawaharlal Nehru Technological University,6024,221,190,13.21
"Indraprastha Institute of Information Technology, Delhi",1937,655,90,14.47
National Institute of Technology Raipur,3661,1822,12,15.0
M. S. Ramaiah Institute of Technology,4781,1303,227,15.0
Lovely Professional University,17649,16128,548,15.0
Banasthali Vidyapith,3475,3090,159,15.0
Pandit Deendayal Petroleum University,3491,335,101,15.0
National Institute of Technology Srinagar,2464,1267,11,15.0
"Punjab Engineering College (Deemed to be University), Chandigarh",3073,1669,102,15.0
Thiagarajar College of Engineering,3698,71,0,15.0
National Institute of Technology Patna,2611,1158,5,13.58
Indian Institute of Information Technology Guwahati,592,520,0,14.92
College of Engineering (A),2867,31,94,15.0
Graphic Era University,3712,2377,17,14.39
International Institute of Information Technology Bangalore,848,764,9,15.0
R.V. College of Engineering,5360,1356,16,14.78
Sri Krishna College of Engineering and Technology,4731,182,17,15.0
Shri Mata Vaishno Devi University,873,330,0,13.48
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1239,1067,9,15.0
Indian Institute of Food Processing Technology (IIFPT),296,99,0,14.86
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",3395,464,30,15.0
PES University,5791,944,65,15.0
Manipal University Jaipur,4426,3692,53,15.0
National Institute of Technology Goa,553,384,26,12.69
"National Institute of Technology, Jamshedpur",2909,1507,65,15.0
Indian Institute of Information Technology Allahabad,1685,1211,27,15.0
Netaji Subhas University of Technology (NSUT),4309,775,122,15.0
Panjab University,3276,2377,9,11.75
Kumaraguru College of Technology,5471,202,0,13.64
University of Petroleum and Energy Studies,6427,5580,23,14.91
National Institute of Technology Agartala,3180,1761,3,12.93
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,8078,6928,201,9.07
Jaypee Institute of Information Technology,4375,1879,2,13.82
College of Engineering Trivandrum,3465,79,0,15.0
Bharati Vidyapeeth Deemed University College of Engineering,3311,2913,10,15.0
The Northcap University,1593,620,14,15.0
B.M.S. College of Engineering,5372,988,420,14.71
National Institute of Technology Hamirpur,3252,1762,18,15.0
"C.V. Raman Global University, Odisha",4175,2313,91,15.0
Siddaganga Institute of Technology,3494,550,64,12.57
Coimbatore Institute of Technology,3108,80,0,11.81
