Name,F2019,F2018,F2017,P2019,P2018,P2017,GPHD,Nphd,ratio,root,model
"Indraprastha Institute of Information Technology, Delhi",9,13,14,0,0,0,2.5,36,0.069444444,6,2.8652792
National Institute of Technology Raipur,28,27,19,14,19,37,4.52,74,0.061081081,8.602325267,4.694087223
M. S. Ramaiah Institute of Technology,7,12,3,29,34,24,1.62,22,0.073636364,4.69041576,1.944956827
Lovely Professional University,11,17,0,24,19,1,2.01,28,0.071785714,5.291502622,2.36737615
Banasthali Vidyapith,65,62,54,0,0,0,8.46,181,0.046740331,13.45362405,8.103382072
Pandit Deendayal Petroleum University,12,6,2,24,6,6,1.48,20,0.074,4.472135955,1.791558686
National Institute of Technology Srinagar,19,26,17,2,3,3,3.93,62,0.063387097,7.874007874,4.182255474
"Punjab Engineering College (Deemed to be University), Chandigarh",14,13,12,7,24,22,2.68,39,0.068717949,6.244997998,3.037453797
Thiagarajar College of Engineering,21,13,5,40,17,38,2.68,39,0.068717949,6.244997998,3.037453797
National Institute of Technology Patna,26,15,5,6,15,5,3.08,46,0.066956522,6.782329983,3.415068793
Indian Institute of Information Technology Guwahati,1,0,0,0,0,0,0.08,1,0.08,1,-0.6485168
College of Engineering (A),52,33,25,84,72,58,6.06,110,0.055090909,10.48808848,6.019324671
Graphic Era University,5,3,3,16,7,11,0.85,11,0.077272727,3.31662479,0.979512584
International Institute of Information Technology Bangalore,2,2,1,5,5,3,0.4,5,0.08,2.236067977,0.220141343
R.V. College of Engineering,2,2,1,34,10,7,0.4,5,0.08,2.236067977,0.220141343
Sri Krishna College of Engineering and Technology,4,1,0,38,34,5,0.4,5,0.08,2.236067977,0.220141343
Shri Mata Vaishno Devi University,32,10,1,0,0,0,2.91,43,0.067674419,6.557438524,3.257024251
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",19,25,18,0,0,0,3.93,62,0.063387097,7.874007874,4.182255474
Indian Institute of Food Processing Technology (IIFPT),3,2,1,0,0,0,0.47,6,0.078333333,2.449489743,0.370125452
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",9,14,4,7,19,9,1.94,27,0.071851852,5.196152423,2.30036792
PES University,1,1,0,1,0,0,0.16,2,0.08,1.414213562,-0.357424408
Manipal University Jaipur,0,1,1,18,9,11,0.16,2,0.08,1.414213562,-0.357424408
National Institute of Technology Goa,6,3,5,0,0,0,1.06,14,0.075714286,3.741657387,1.278208152
"National Institute of Technology, Jamshedpur",14,20,10,4,7,5,2.97,44,0.0675,6.633249581,3.310301169
Indian Institute of Information Technology Allahabad,7,22,22,0,0,0,3.36,51,0.065882353,7.141428429,3.667428529
Netaji Subhas University of Technology (NSUT),11,19,19,0,0,0,3.25,49,0.066326531,7,3.5680384
Panjab University,18,12,25,0,0,0,3.57,55,0.064909091,7.416198487,3.860525716
Kumaraguru College of Technology,0,1,1,17,11,13,0.16,2,0.08,1.414213562,-0.357424408
University of Petroleum and Energy Studies,0,1,1,25,12,20,0.16,2,0.08,1.414213562,-0.357424408
National Institute of Technology Agartala,11,13,17,4,9,14,2.8,41,0.068292683,6.403124237,3.148578467
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,1,1,0,31,18,14,0.16,2,0.08,1.414213562,-0.357424408
Jaypee Institute of Information Technology,12,12,9,13,21,7,2.32,33,0.07030303,5.744562647,2.68576825
College of Engineering Trivandrum,1,11,9,9,3,8,1.55,21,0.073809524,4.582575695,1.869171229
Bharati Vidyapeeth Deemed University College of Engineering,12,14,7,0,0,0,2.32,33,0.07030303,5.744562647,2.68576825
The Northcap University,1,1,1,6,5,6,0.24,3,0.08,1.732050808,-0.13406136
B.M.S. College of Engineering,6,5,2,15,23,23,0.99,13,0.076153846,3.605551275,1.18255833
National Institute of Technology Hamirpur,18,14,15,0,7,17,3.14,47,0.066808511,6.8556546,3.466598342
Siddaganga Institute of Technology,1,4,3,11,12,18,0.62,8,0.0775,2.828427125,0.636427183
Coimbatore Institute of Technology,4,5,1,17,22,29,0.77,10,0.077,3.16227766,0.871043719
Shoolini University of Biotechnology and Management Sciences,13,2,2,0,0,0,1.28,17,0.075294118,4.123105626,1.546274411
Tezpur University,7,9,6,13,9,7,1.62,22,0.073636364,4.69041576,1.944956827
Karunya Institute of Technology and Sciences,10,9,6,49,19,14,1.81,25,0.0724,5,2.16252
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,8,10,7,0,0,0,1.81,25,0.0724,5,2.16252
Dhirubhai Ambani Institute of Information and Communication Technology,5,4,8,1,4,3,1.28,17,0.075294118,4.123105626,1.546274411
Guru Gobind Singh Indraprastha University,4,1,0,6,3,7,0.4,5,0.08,2.236067977,0.220141343
Sri Sairam Engineering College,15,9,2,31,22,5,1.88,26,0.072307692,5.099019514,2.232106874
Rajalakshmi Engineering College,16,12,2,37,23,8,2.13,30,0.071,5.477225575,2.497894663
"Vignan's Foundation for Science, Technology and Research",1,3,10,12,14,4,1.06,14,0.075714286,3.741657387,1.278208152
B. S. Abdur Rahman Crescent Institute of Science and Technology,3,2,0,9,7,3,0.4,5,0.08,2.236067977,0.220141343
Chitkara University,4,0,0,18,7,1,0.32,4,0.08,2,0.0542424
National Institute of Technology Manipur,12,6,8,3,2,2,1.88,26,0.072307692,5.099019514,2.232106874
National Institute of Foundry and Forge Technology (NIFFT),7,8,4,0,0,0,1.41,19,0.074210526,4.358898944,1.711980334
Veer Surendra Sai University of Technology,16,17,15,1,9,2,3.19,48,0.066458333,6.92820323,3.51758256
Maharaja Sayajirao University of Baroda,21,9,17,0,0,0,3.14,47,0.066808511,6.8556546,3.466598342
Manav Rachna International Institute of Research & Studies,7,3,1,9,9,9,0.85,11,0.077272727,3.31662479,0.979512584
Saveetha Institute of Medical and Technical Sciences,1,1,2,8,5,4,0.32,4,0.08,2,0.0542424
Vishwakarma Institute of Technology,5,2,8,0,0,0,1.14,15,0.076,3.872983346,1.370498678
University College of Engingeering,6,4,4,57,122,65,1.06,14,0.075714286,3.741657387,1.278208152
Mepco Schlenk Engineering College,0,12,4,22,17,22,1.21,16,0.075625,4,1.4597608
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",4,1,2,30,13,9,0.55,7,0.078571429,2.645751311,0.508050075
Dayalbagh Educational Institute,4,10,6,4,3,1,1.48,20,0.074,4.472135955,1.791558686
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),7,5,0,13,14,13,0.92,12,0.076666667,3.464101615,1.08315328
Government College of Technology,6,5,7,9,18,12,1.34,18,0.074444444,4.242640687,1.630278775
Jaypee University of Information Technology,14,20,23,7,12,2,3.68,57,0.064561404,7.549834435,3.954439608
The Rashtrasant Tukadoji Maharaj Nagpur University,1,0,0,0,0,0,0.08,1,0.08,1,-0.6485168
Sri Krishna College of Technology,1,0,1,6,10,4,0.16,2,0.08,1.414213562,-0.357424408
NMAM Institute of Technology,0,1,3,4,0,10,0.32,4,0.08,2,0.0542424
P E S College of Engineering,2,0,0,21,27,13,0.16,2,0.08,1.414213562,-0.357424408
New Horizon College of Engineering,3,3,3,14,3,3,0.7,9,0.077777778,3,0.7570016
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1,4,0,0,0,0,0.4,5,0.08,2.236067977,0.220141343
Pondicherry Engineering College,24,18,19,29,34,50,3.88,61,0.063606557,7.810249676,4.137448814
