Name,NT,NE,NE/NT,Full Time,SS,UG Intake,PG Intake,Part Time,UG Enrolled,PG Enrolled
Lovely Professional University,17780,17649,0.9926321709786277,341,17.89,17340,440,975,17230,419
Banasthali Vidyapith,3624,3475,0.9588852097130243,241,12.07,3300,324,0,3370,105
Pandit Deendayal Petroleum University,3420,3491,1.0207602339181288,59,11.5,3060,360,71,3182,309
National Institute of Technology Srinagar,2724,2464,0.9045521292217328,187,10.14,2398,326,25,2214,250
"Punjab Engineering College (Deemed to be University), Chandigarh",3376,3073,0.9102488151658767,165,11.56,2820,556,84,2664,409
Thiagarajar College of Engineering,3525,3698,1.0490780141843972,99,11.5,3120,405,154,3435,263
National Institute of Technology Patna,2878,2611,0.9072272411396803,274,11.17,2239,639,374,2171,440
Indian Institute of Information Technology Guwahati,693,592,0.8542568542568543,31,5.63,573,120,27,544,48
College of Engineering (A),2854,2867,1.0045550105115628,103,11.0,1834,1020,248,1902,965
Graphic Era University,3750,3712,0.9898666666666667,38,10.89,3570,180,37,3578,134
International Institute of Information Technology Bangalore,930,848,0.9118279569892473,42,5.97,0,930,37,0,848
R.V. College of Engineering,4960,5360,1.0806451612903225,27,14.0,4240,720,314,4750,610
Sri Krishna College of Engineering and Technology,4596,4731,1.029373368146214,11,12.0,4440,156,156,4607,124
Shri Mata Vaishno Devi University,1239,873,0.7046004842615012,119,7.28,1095,144,0,765,108
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1464,1239,0.8463114754098361,149,8.35,1229,235,1,1115,124
Indian Institute of Food Processing Technology (IIFPT),331,296,0.8942598187311178,51,5.02,255,76,0,230,66
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",2944,3395,1.1531929347826086,135,12.5,2160,784,101,2710,685
PES University,5808,5791,0.9970730027548209,32,13.96,5520,288,48,5535,256
Manipal University Jaipur,5114,4426,0.865467344544388,46,12.18,5064,50,166,4406,20
National Institute of Technology Goa,680,553,0.8132352941176471,71,5.88,560,120,18,461,92
"National Institute of Technology, Jamshedpur",3218,2909,0.9039776258545681,180,11.49,2526,692,96,2445,464
Indian Institute of Information Technology Allahabad,1794,1685,0.9392419175027871,207,9.04,1388,406,14,1366,319
Netaji Subhas University of Technology (NSUT),4505,4309,0.9564927857935627,204,13.48,4148,357,0,4089,220
Panjab University,4510,3276,0.7263858093126386,185,10.72,3694,816,0,2988,288
Kumaraguru College of Technology,5568,5471,0.9825790229885057,20,13.26,4920,648,114,5093,378
University of Petroleum and Energy Studies,7245,6427,0.8870945479641131,23,11.98,6915,330,250,6132,295
National Institute of Technology Agartala,3980,3180,0.7989949748743719,134,10.39,3233,747,71,2782,398
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,9468,8078,0.8531896915927334,33,12.02,8760,708,288,7855,223
Jaypee Institute of Information Technology,5550,4375,0.7882882882882883,151,12.64,4560,990,82,4017,358
College of Engineering Trivandrum,3351,3465,1.0340196956132497,89,11.5,2523,828,54,2676,789
Bharati Vidyapeeth Deemed University College of Engineering,3438,3311,0.9630599185573008,158,12.11,3150,288,2,3029,282
The Northcap University,1762,1593,0.9040862656072645,46,7.28,1690,72,41,1566,27
B.M.S. College of Engineering,5712,5372,0.9404761904761905,73,13.7,5220,492,250,4973,399
National Institute of Technology Hamirpur,3559,3252,0.9137398145546501,192,11.59,2369,1190,26,2274,978
"C.V. Raman Global University, Odisha",4913,4175,0.8497862812945247,12,10.2,4500,413,42,3809,366
Siddaganga Institute of Technology,3930,3494,0.889058524173028,35,9.84,3480,450,113,3309,185
Coimbatore Institute of Technology,3182,3108,0.9767441860465116,62,11.26,2840,342,107,2965,143
Shoolini University of Biotechnology and Management Sciences,1025,919,0.8965853658536586,65,7.72,960,65,0,860,59
Tezpur University,1657,1812,1.0935425467712734,139,9.5,1208,449,41,1254,558
Karunya Institute of Technology and Sciences,6538,5029,0.7691954726215968,57,11.38,6008,530,284,4820,209
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,908,794,0.8744493392070485,44,5.75,181,727,0,178,616
Dhirubhai Ambani Institute of Information and Communication Technology,1804,1722,0.9545454545454546,50,8.16,1350,454,7,1314,408
Guru Gobind Singh Indraprastha University,1058,996,0.941398865784499,33,7.56,720,338,114,755,241
Sri Sairam Engineering College,5112,4576,0.8951486697965572,36,12.58,4860,252,118,4424,152
Rajalakshmi Engineering College,7260,7020,0.9669421487603306,61,14.05,7020,240,153,6796,224
"Vignan's Foundation for Science, Technology and Research",7686,6575,0.8554514702055686,144,13.55,7290,396,439,6252,323
B. S. Abdur Rahman Crescent Institute of Science and Technology,3972,3151,0.7933031218529708,30,8.83,3720,252,235,3047,104
Chitkara University,5523,5245,0.9496650371175086,99,13.82,5370,153,134,5172,73
National Institute of Technology Manipur,870,670,0.7701149425287356,100,6.62,720,150,52,576,94
National Institute of Foundry and Forge Technology (NIFFT),731,540,0.7387140902872777,13,4.43,499,232,20,398,142
Veer Surendra Sai University of Technology,4860,4340,0.8930041152263375,392,13.72,4032,828,76,3692,648
Maharaja Sayajirao University of Baroda,3830,4160,1.0861618798955615,191,14.0,3000,830,0,2977,1183
Manav Rachna International Institute of Research & Studies,2487,1960,0.7880981101728991,44,7.59,2325,162,99,1907,53
Shri Ramdeobaba College of Engineering and Management,3492,3664,1.0492554410080184,6,10.5,3240,252,29,3528,136
Punjab Technical University,1258,702,0.5580286168521462,0,4.19,1140,118,554,679,23
Saveetha Institute of Medical and Technical Sciences,5340,5061,0.947752808988764,43,13.29,5280,60,232,5001,60
Vishwakarma Institute of Technology,4267,5014,1.175064448089993,62,14.5,3980,287,0,4826,188
University College of Engingeering,2372,2208,0.9308600337268128,23,8.38,1641,731,982,1565,643
Mepco Schlenk Engineering College,4174,3638,0.8715860086248203,34,10.96,3834,340,159,3505,133
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2408,2062,0.856312292358804,19,7.71,2240,168,185,1970,92
Dayalbagh Educational Institute,1286,1182,0.9191290824261276,145,8.89,1200,86,35,1082,100
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),2286,2547,1.1141732283464567,32,9.5,1980,306,124,2362,185
Government College of Technology,3236,3104,0.9592088998763906,47,10.57,2840,396,78,2760,344
Jaypee University of Information Technology,2271,1673,0.7366798767062968,87,7.63,2160,111,51,1643,30
G. H. Raisoni College of Engineering,3972,3803,0.9574521651560927,0,10.05,3600,372,61,3631,172
PSG Institute of Technology and Applied Research,1200,1270,1.0583333333333333,0,7.5,1200,0,0,1270,0
Chaitanya Bharathi Institute of Technology,4492,4624,1.0293855743544078,0,12.0,4140,352,0,4426,198
SR University,3132,3103,0.9907407407407407,0,10.4,2880,252,28,2877,226
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5028,5244,1.0429594272076372,10,13.5,4560,468,0,4950,294
The Rashtrasant Tukadoji Maharaj Nagpur University,720,698,0.9694444444444444,27,6.32,600,120,0,645,53
Sri Krishna College of Technology,4056,3591,0.8853550295857988,4,10.62,3840,216,103,3533,58
NMAM Institute of Technology,4156,4354,1.0476419634263716,8,12.0,3720,436,62,4198,156
P E S College of Engineering,2984,2914,0.9765415549597856,2,8.79,2780,204,135,2817,97
Army Institute of Technology,1296,1314,1.0138888888888888,0,7.5,1260,36,0,1302,12
New Horizon College of Engineering,4770,5438,1.140041928721174,5,13.5,4320,450,51,5053,385
Vardhaman College of Engineering,3816,3895,1.0207023060796645,2,10.5,3600,216,0,3792,103
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1032,1127,1.0920542635658914,55,8.5,960,72,0,1085,42
Pondicherry Engineering College,2882,2460,0.8535739070090215,188,9.68,2400,482,216,2258,202
National Institute of Technology Puducherry,910,877,0.9637362637362638,55,6.78,840,70,33,821,56
Anurag University,5166,5522,1.0689121176926055,2,13.5,4920,246,0,5316,206
Chandigarh Engineering College,5424,5611,1.034476401179941,0,13.5,5280,144,92,5489,122
"National Institute of Food Technology, Entrepreneurship & Management",879,761,0.8657565415244596,74,6.19,709,170,8,601,160
Yeshwantrao Chavan College of Engineering,4346,4596,1.0575241601472618,1,12.0,4080,266,80,4503,93
Dr. Vishwanath Karad MIT World Peace University,5760,5949,1.0328125,124,15.5,5250,510,0,5664,285
SVKM`s Narsee Monjee Institute of Management Studies,3290,3114,0.9465045592705167,90,10.94,1660,1630,0,1528,1586
BMS Institute of Technology & Management,2772,3070,1.1075036075036075,2,10.5,2700,72,56,3035,35
Nirma University,4035,4610,1.1425030978934325,16,12.0,3466,569,90,4035,575
"Amity University, Gwalior",680,573,0.8426470588235294,21,5.06,665,15,51,572,1
CVR College Of Engineering,5124,4979,0.9717017954722873,2,13.12,4800,324,0,4781,198
"Government Engineering College, Thrissur",2410,2634,1.0929460580912862,55,10.0,2050,360,56,2267,367
"Jain University, Bangalore",5074,3926,0.7737485218762318,150,12.45,4510,564,15,3717,209
Maulana Abul Kalam Azad University of Technology,821,486,0.5919610231425091,19,3.55,324,497,22,292,194
Institute of Aeronautical Engineering,4368,4360,0.9981684981684982,0,11.98,4200,168,0,4252,108
National Institute of Technology Arunachal Pradesh,980,625,0.6377551020408163,42,4.33,800,180,32,560,65
Indira Gandhi Delhi Technical University for Women,1839,1611,0.8760195758564437,63,7.57,1600,239,48,1490,121
Sant Longowal Institute of Engineering & Technology,2581,2335,0.9046881053855095,120,10.14,2280,301,54,2200,135
"Silicon Institute of Technology (SIT), Bhubaneswar",2268,2153,0.949294532627866,0,8.54,2160,108,0,2150,3
Kongu Engineering College,7338,6772,0.9228672662850913,17,12.46,6720,618,197,6596,176
Goka Raju Ranga Raju Institute of Engineering & Technology,5088,5375,1.0564072327044025,0,13.5,4740,348,0,5151,224
Annamalai University,4610,2425,0.5260303687635575,131,8.31,3870,740,791,2203,222
Rajiv Gandhi Institute of Petroleum Technology,636,428,0.6729559748427673,49,4.54,492,144,31,411,17
Nitte Meenakshi Institute of Technology,4566,4334,0.9491896627244854,17,11.39,4320,246,54,4209,125
Institute of Engineering & Management,2988,2992,1.001338688085676,0,9.0,2880,108,0,2912,80
R.M.K. Engineering College,3228,3100,0.9603469640644362,4,10.08,3120,108,99,3089,11
Noida Institute of Engineering & Technology,5481,4575,0.8347016967706623,0,11.27,5220,261,0,4482,93
Hindustan Institute of Technology and Science (HITS),6268,4725,0.75382897255903,71,11.18,5950,318,268,4624,101
Dr. D. Y. Patil Institute of Technology,3624,3599,0.9931015452538632,55,11.43,3360,264,0,3427,172
Guru Nanak Dev University,2180,1751,0.8032110091743119,21,7.23,2060,120,13,1681,70
Sri Ramakrishna Engineering College,4356,4162,0.9554637281910009,14,11.47,4080,276,65,4131,31
KIET Group of Institutions,4695,4650,0.9904153354632588,5,11.89,4560,135,16,4642,8
Galgotias University,5606,4835,0.8624687834463075,33,12.14,5524,82,134,4753,82
Velagapudi Ramakrishna Siddhartha Engineering College,4902,5158,1.0522235822113424,0,13.5,4560,342,63,4929,229
Sharda University,3168,2467,0.7787247474747475,52,9.18,2837,331,11,2258,209
KLE Technological University,5200,5239,1.0075,4,13.5,4900,300,122,5052,187
Shri G. S. Institute of Technology & Science,3706,3446,0.9298434970318402,85,10.76,2850,856,27,3087,359
North Eastern Regional Institute of Science & Technology,1843,1116,0.6055344546934346,97,5.54,1443,400,62,897,219
St. Josephs College of Engineering,5532,5214,0.9425162689804772,11,12.72,5280,252,70,5161,53
Lakshmi Narain College of Technology,4920,4491,0.9128048780487805,0,10.95,4560,360,0,4195,296
Centurion  University  of Technology and Management,2245,2191,0.9759465478841871,6,8.78,2245,0,93,2191,0
Rabindranath Tagore University,1554,1453,0.935006435006435,206,9.01,1230,324,0,1134,319
National Institute of Technology Uttarakhand,1020,681,0.6676470588235294,45,5.51,850,170,47,594,87
JSS Science and Technology University,4572,4197,0.9179790026246719,40,11.52,3910,662,279,3786,411
Easwari Engineering College,4320,3518,0.8143518518518519,9,9.77,4140,180,99,3468,50
International Institute of Information Technology Bhubaneswar,1250,1249,0.9992,8,7.49,1200,50,3,1236,13
National Engineering College,2696,2589,0.9603115727002968,15,8.64,2520,176,50,2534,55
Sona College of Technology,4680,4132,0.8829059829059829,47,11.09,4230,450,209,3934,198
C M R Institute of Technology,3936,3741,0.9504573170731707,7,9.98,3840,96,69,3724,17
G.L.Bajaj Institute of Technology and Management,4140,3822,0.9231884057971015,0,11.08,4140,0,0,3822,0
DIT University,3720,3480,0.9354838709677419,57,10.82,3630,90,66,3437,43
The National Institute of Engineering,3600,3600,1.0,13,10.5,3180,420,115,3310,290
K. J. Somaiya College of Engineering,2616,2864,1.0948012232415902,23,9.0,2400,216,0,2779,85
Kakatiya Institute of Technology & Science,3950,4108,1.04,0,12.0,3660,290,45,3891,217
Walchand College of Engineering,2040,2294,1.1245098039215686,40,9.5,1560,480,18,1912,382
Sri Venkateswara University,2395,1987,0.8296450939457203,161,9.47,1963,432,152,1658,329
