Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
Annamalai University,8.31,28.38,13.52,9.42,12.29,11.93,0.5,0.32,3.59,5.62,7.32,5.11,0.35,19.03,1.81,9.0,14.83
Rajiv Gandhi Institute of Petroleum Technology,4.54,22.34,14.69,17.34,1.92,4.33,0.0,0.89,23.41,9.42,15.81,0.85,12.83,5.98,3.66,20.0,2.17
Nitte Meenakshi Institute of Technology,11.39,26.12,12.07,7.85,1.78,2.87,0.0,0.22,23.74,14.68,10.54,1.34,7.04,22.53,2.16,20.0,2.17
Institute of Engineering & Management,9.0,22.26,9.76,9.64,4.29,4.86,0.0,0.19,19.67,15.0,10.12,0.0,17.38,25.43,4.28,20.0,4.23
R.M.K. Engineering College,10.08,24.51,11.3,8.56,0.96,2.04,0.0,0.25,29.45,15.0,11.07,0.08,5.67,24.03,2.69,20.0,3.56
Noida Institute of Engineering & Technology,11.27,26.77,8.03,6.38,0.35,0.78,0.0,0.24,31.58,15.0,10.93,0.0,7.49,19.0,2.18,20.0,14.83
Hindustan Institute of Technology and Science (HITS),11.18,20.3,11.61,5.33,6.42,8.12,3.0,0.12,21.69,11.88,9.17,1.28,5.03,20.21,1.6,20.0,6.83
Dr. D. Y. Patil Institute of Technology,11.43,25.32,10.49,6.43,0.17,0.17,0.0,0.12,30.56,14.72,12.89,1.94,3.88,26.13,1.72,20.0,5.55
Guru Nanak Dev University,7.23,10.02,5.25,1.81,15.01,17.22,0.0,0.29,30.92,14.42,10.54,0.47,4.11,21.25,0.87,20.0,10.45
Sri Ramakrishna Engineering College,11.47,25.02,12.05,5.93,1.68,1.9,3.0,0.25,25.2,13.19,11.16,0.55,0.55,24.05,0.5,20.0,10.45
KIET Group of Institutions,11.89,26.52,12.34,7.09,1.38,1.82,1.0,0.34,27.6,15.0,10.66,0.08,1.35,20.69,2.63,20.0,0.0
Galgotias University,12.14,24.26,11.67,6.01,2.23,4.09,2.0,0.15,24.09,15.0,9.83,0.55,9.29,18.22,1.68,20.0,2.17
Velagapudi Ramakrishna Siddhartha Engineering College,13.5,23.47,11.54,5.9,3.76,3.02,1.0,0.36,21.44,14.7,10.65,0.0,0.31,27.7,4.52,20.0,3.56
Sharda University,9.18,24.18,13.01,5.71,3.5,4.82,2.0,0.12,19.49,10.98,10.06,0.62,14.91,19.6,0.04,20.0,12.15
KLE Technological University,13.5,23.0,10.61,7.52,2.73,3.79,0.0,0.22,23.75,15.0,11.67,0.0,1.91,25.39,0.7,20.0,2.87
Shri G. S. Institute of Technology & Science,10.76,23.03,10.93,0.21,1.19,1.84,0.0,0.78,28.2,13.01,12.97,0.92,1.37,23.2,3.73,20.0,6.19
North Eastern Regional Institute of Science & Technology,5.54,25.05,13.83,15.69,5.15,5.61,0.0,1.02,14.79,7.96,10.98,1.21,11.47,15.06,2.98,14.0,4.23
St. Josephs College of Engineering,12.72,22.81,11.54,4.43,3.08,6.04,1.5,0.04,26.94,13.29,10.39,0.08,0.62,24.24,0.8,20.0,0.0
Lakshmi Narain College of Technology,10.95,23.78,11.5,5.56,0.16,0.68,1.0,0.02,32.27,15.0,10.33,0.0,10.7,22.52,2.22,20.0,0.74
Centurion  University  of Technology and Management,8.78,22.39,10.97,10.38,0.91,1.14,0.0,0.73,30.36,14.72,9.25,0.0,8.22,20.35,4.49,20.0,0.74
Rabindranath Tagore University,9.01,26.33,17.21,3.48,0.24,0.42,1.0,0.1,18.21,15.0,10.13,4.61,17.89,20.97,2.57,20.0,0.0
National Institute of Technology Uttarakhand,5.51,30.0,13.96,7.6,5.15,6.82,0.0,0.29,15.11,13.5,13.98,0.16,9.34,11.63,3.74,11.0,1.46
JSS Science and Technology University,11.52,20.49,10.67,8.03,1.81,2.34,0.0,0.16,25.3,14.53,11.88,1.68,1.1,25.39,3.45,20.0,8.68
Easwari Engineering College,9.77,24.43,14.41,6.13,0.8,1.32,0.0,0.3,30.67,13.91,11.99,0.08,0.12,22.31,6.05,20.0,4.23
International Institute of Information Technology Bhubaneswar,7.49,16.1,9.26,9.45,6.08,5.98,0.0,0.53,28.28,15.0,10.42,0.77,12.18,17.02,0.44,20.0,4.23
National Engineering College,8.64,28.39,13.67,5.71,2.17,3.57,0.0,0.06,23.36,14.1,8.18,0.16,0.07,26.07,0.58,20.0,1.46
Sona College of Technology,11.09,24.18,12.49,5.92,1.53,1.79,0.5,0.34,26.81,13.48,8.36,0.85,0.87,24.42,3.39,20.0,4.9
C M R Institute of Technology,9.98,25.34,11.86,8.39,1.13,1.82,1.0,0.19,22.5,12.65,10.91,0.0,6.25,24.52,1.45,20.0,2.17
G.L.Bajaj Institute of Technology and Management,11.08,27.83,12.16,6.06,1.05,1.46,1.0,0.21,22.47,15.0,10.3,0.0,6.05,19.56,0.71,20.0,0.0
DIT University,10.82,20.13,10.32,8.87,2.17,4.82,0.0,0.11,21.49,15.0,10.48,1.55,14.32,20.32,0.4,20.0,1.46
The National Institute of Engineering,10.5,24.04,11.15,8.1,0.86,1.18,0.0,0.29,24.2,15.0,11.75,0.08,2.86,24.13,3.5,20.0,4.23
K. J. Somaiya College of Engineering,9.0,24.16,8.97,10.09,1.35,0.83,1.0,0.15,31.94,15.0,11.76,0.24,1.09,21.88,0.41,15.0,2.17
Kakatiya Institute of Technology & Science,12.0,25.2,12.07,6.53,0.43,0.52,0.5,0.19,23.8,15.0,10.33,0.0,0.29,26.75,2.21,20.0,4.9
Walchand College of Engineering,9.5,20.44,9.54,8.76,2.19,1.99,0.0,0.36,28.22,15.0,12.65,0.24,0.69,23.05,4.19,20.0,6.19
Sri Venkateswara University,9.47,15.84,8.5,7.96,11.3,13.37,0.0,0.92,13.29,12.26,10.02,2.01,0.31,22.74,4.26,16.0,3.56
