Name,Intake,Outside State,Outside Country,RD,,Intake
Malaviya National Institute of Technology,3967,2033,30,10.8,12.84976052,3967
Lakshmi Narain College of Technology,4491,2057,0,10.7,11.45067914,4491
Birla Institute of Technology,2935,1485,68,10.63,12.7649063,2935
Shanmugha Arts Science Technology & Research Academy,7899,3296,4,10.35,10.43423218,7899
National Institute of Technology Patna,2611,1158,5,10.35,11.09728074,2611
Karunya Institute of Technology and Sciences,5029,2601,2,10.19,12.93199443,5029
National Institute of Technology Manipur,670,340,0,10,12.68656716,670
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14251,5233,319,9.92,9.29197951,14251
National Institute of Technology Arunachal Pradesh,625,377,1,9.87,15.088,625
Shoolini University of Biotechnology and Management Sciences,919,357,27,9.73,9.858541893,919
"Indraprastha Institute of Information Technology, Delhi",1937,655,90,9.59,8.686112545,1937
SVKM`s Narsee Monjee Institute of Management Studies,3114,1224,6,9.58,9.836223507,3114
National Institute of Technology Uttarakhand,681,370,2,9.34,13.59765051,681
Galgotias University,4835,1928,88,9.29,10.05997932,4835
The Northcap University,1593,620,14,9.25,9.774011299,1593
New Horizon College of Engineering,5438,1660,218,9.06,7.831923501,5438
Defence Institute of Advanced Technology,439,278,2,9.01,15.85421412,439
Jaypee Institute of Information Technology,4375,1879,2,8.67,10.73942857,4375
M. S. Ramaiah Institute of Technology,4781,1303,227,8.34,7.050826187,4781
Centurion  University  of Technology and Management,2191,688,27,8.22,7.911912369,2191
BMS Institute of Technology & Management,3070,817,114,7.97,6.838762215,3070
Indian Institute of Food Processing Technology (IIFPT),296,99,0,7.65,8.361486486,296
Noida Institute of Engineering & Technology,4575,1605,0,7.49,8.770491803,4575
Punjab Technical University,702,366,0,7.44,13.03418803,702
Anurag University,5522,1551,0,7.19,7.021912351,5522
Nitte Meenakshi Institute of Technology,4334,965,239,7.04,5.842178126,4334
SR University,3103,855,3,7.01,6.893329036,3103
Shri Mata Vaishno Devi University,873,330,0,6.81,9.450171821,873
Tezpur University,1812,471,6,6.75,6.514900662,1812
B.M.S. College of Engineering,5372,988,420,6.72,4.988830975,5372
R.V. College of Engineering,5360,1356,16,6.57,6.339552239,5360
Institute of Chemical Technology,1580,414,0,6.51,6.550632911,1580
Dayalbagh Educational Institute,1182,325,0,6.47,6.87394247,1182
C M R Institute of Technology,3741,865,79,6.25,5.886126704,3741
G.L.Bajaj Institute of Technology and Management,3822,979,0,6.05,6.403715332,3822
Aligarh Muslim University,2218,473,38,5.99,5.417042381,2218
Guru Gobind Singh Indraprastha University,996,154,74,5.9,4.236947791,996
"Vignan's Foundation for Science, Technology and Research",6575,1653,45,5.68,6.319391635,6575
CVR College Of Engineering,4979,1136,0,5.67,5.703956618,4979
R.M.K. Engineering College,3100,715,0,5.67,5.766129032,3100
Dr. Vishwanath Karad MIT World Peace University,5949,1151,129,5.63,4.94536897,5949
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),2547,553,0,5.55,5.427954456,2547
Indira Gandhi Delhi Technical University for Women,1611,395,0,5.5,6.129733085,1611
P E S College of Engineering,2914,638,0,5.47,5.473575841,2914
Netaji Subhas University of Technology (NSUT),4309,775,122,5.25,4.637967046,4309
Hindustan Institute of Technology and Science (HITS),4725,1207,20,5.03,6.407407407,4725
Dhirubhai Ambani Institute of Information and Communication Technology,1722,292,49,4.99,4.381533101,1722
Shri Ramdeobaba College of Engineering and Management,3664,630,41,4.75,4.354530568,3664
Rajalakshmi Engineering College,7020,1231,52,4.56,4.420940171,7020
PES University,5791,944,65,4.51,4.13141081,5791
Vishwakarma Institute of Technology,5014,623,181,4.3,3.286796968,5014
"College of Engineering, Pune",3724,354,211,4.2,2.659774436,3724
Guru Nanak Dev University,1751,344,5,4.11,4.92575671,1751
Siddaganga Institute of Technology,3494,550,64,4.09,4.026903263,3494
"Amity University, Gwalior",573,103,0,3.88,4.493891798,573
Dr. D. Y. Patil Institute of Technology,3599,537,10,3.88,3.744095582,3599
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",3395,464,30,3.77,3.460972018,3395
University College of Engingeering,2208,300,37,3.72,3.480525362,2208
Jadavpur University,6253,944,49,3.67,3.813369583,6253
Nirma University,4610,550,83,3.61,3.072668113,4610
Sri Sivasubramaniya Nadar College of Engineering,4102,477,59,3.42,2.979034617,4102
Maulana Abul Kalam Azad University of Technology,486,105,3,3.39,5.432098765,486
Pandit Deendayal Petroleum University,3491,335,101,3.36,2.543683758,3491
Pondicherry Engineering College,2460,378,0,3.36,3.841463415,2460
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2062,297,4,3.21,3.61057226,2062
Sri Sairam Engineering College,4576,576,0,2.88,3.146853147,4576
B. S. Abdur Rahman Crescent Institute of Science and Technology,3151,443,1,2.86,3.516344018,3151
The National Institute of Engineering,3600,402,0,2.86,2.791666667,3600
Sri Krishna College of Technology,3591,382,0,2.41,2.659426344,3591
NMAM Institute of Technology,4354,403,0,2.37,2.313964171,4354
G. H. Raisoni College of Engineering,3803,339,19,2.33,2.253484092,3803
Institute of Aeronautical Engineering,4360,390,3,2.31,2.239678899,4360
Chaitanya Bharathi Institute of Technology,4624,341,51,2.23,1.898788927,4624
KLE Technological University,5239,384,6,1.91,1.838137049,5239
Jawaharlal Nehru Technological University,6024,221,190,1.78,1.074867198,6024
Indian Institute of Engineering Science and Technology,3006,1440,35,1.74,12.0342648,3006
The Rashtrasant Tukadoji Maharaj Nagpur University,698,47,0,1.67,1.683381089,698
Vardhaman College of Engineering,3895,235,8,1.61,1.518613607,3895
Yeshwantrao Chavan College of Engineering,4596,265,1,1.48,1.442558747,4596
Shri G. S. Institute of Technology & Science,3446,146,43,1.37,1.12159025,3446
KIET Group of Institutions,4650,247,0,1.35,1.327956989,4650
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5244,241,28,1.34,1.175629291,5244
PSG College of Technology,6459,328,0,1.3,1.269546369,6459
College of Engineering (A),2867,31,94,1.3,0.434251831,2867
PSG Institute of Technology and Applied Research,1270,55,3,1.18,1.094488189,1270
Sri Krishna College of Engineering and Technology,4731,182,17,1.1,0.979708307,4731
JSS Science and Technology University,4197,196,0,1.1,1.167500596,4197
K. J. Somaiya College of Engineering,2864,32,74,1.09,0.408519553,2864
Goka Raju Ranga Raju Institute of Engineering & Technology,5375,203,0,0.97,0.944186047,5375
Kumaraguru College of Technology,5471,202,0,0.93,0.923048803,5471
Sona College of Technology,4132,82,63,0.87,0.572362052,4132
Anna University,13175,188,192,0.77,0.429601518,13175
Visvesvaraya Technological University,1433,113,0,0.73,1.971388695,1433
Walchand College of Engineering,2294,45,14,0.69,0.52092415,2294
Coimbatore Institute of Technology,3108,80,0,0.64,0.643500644,3108
St. Josephs College of Engineering,5214,110,20,0.62,0.546605293,5214
College of Engineering Trivandrum,3465,79,0,0.58,0.56998557,3465
Maharaja Sayajirao University of Baroda,4160,91,0,0.56,0.546875,4160
Sri Ramakrishna Engineering College,4162,53,34,0.55,0.359202307,4162
Veer Surendra Sai University of Technology,4340,101,0,0.53,0.581797235,4340
Thiagarajar College of Engineering,3698,71,0,0.49,0.479989183,3698
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1127,20,0,0.45,0.443655723,1127
Annamalai University,2425,15,40,0.35,0.237113402,2425
"Government Engineering College, Thrissur",2634,34,0,0.33,0.322703113,2634
Velagapudi Ramakrishna Siddhartha Engineering College,5158,63,0,0.31,0.305350911,5158
Sri Venkateswara University,1987,18,9,0.31,0.249119275,1987
Kakatiya Institute of Technology & Science,4108,39,6,0.29,0.244644596,4108
Government College of Technology,3104,29,0,0.23,0.233569588,3104
Kongu Engineering College,6772,51,0,0.18,0.188275251,6772
Mepco Schlenk Engineering College,3638,27,0,0.17,0.185541506,3638
Easwari Engineering College,3518,21,0,0.12,0.149232518,3518
National Engineering College,2589,7,0,0.07,0.067593666,2589
