Name,NT,Full Time Phd,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
International Institute of Information Technology Hyderabad,1791,117,66001639.0,41714403.0,95821261.0,344716509.0,338841144.0,259413710.0
Sathyabama Institute of Science and Technology,11730,295,470753256.0,442946611.0,360343500.0,1161054385.0,1120596200.0,1000048000.0
Kalasalingam Academy of Research and Education,5694,233,78975491.0,75344036.0,58476396.0,638094044.0,491378980.0,439435436.0
Visvesvaraya Technological University,1670,36,357405832.0,711053928.0,445289739.0,286080389.0,212149843.0,219123578.0
Defence Institute of Advanced Technology,796,60,98867166.0,65274813.0,56470901.0,180962754.0,173763188.0,143846107.0
National Institute of Technology Meghalaya,800,108,75333130.0,60253750.0,98506688.0,205017489.0,142603456.0,136195962.0
Maulana Azad National Institute of Technology,4427,220,108331306.0,100529487.0,53725049.0,530357705.0,474477096.0,469606158.0
Chandigarh University,13302,188,239123009.0,254057012.0,199044560.0,1551410750.0,1485479965.0,1055386820.0
Jawaharlal Nehru Technological University,6516,128,173222181.0,163042340.0,151256961.0,1223852804.0,1081620115.0,1064719978.0
"Indraprastha Institute of Information Technology, Delhi",2041,185,82870826.0,93549291.0,58383373.0,345921316.0,287950921.0,238093206.0
National Institute of Technology Raipur,4114,325,83483802.0,70443629.0,69516341.0,490642794.0,433463420.0,482923481.0
M. S. Ramaiah Institute of Technology,4848,35,76061563.0,72146691.0,48915765.0,641287992.0,560017724.0,530041203.0
Lovely Professional University,17780,341,138486153.0,92747891.0,17159156.0,1148877920.0,1089079584.0,811486596.0
Banasthali Vidyapith,3624,241,91653169.0,78266716.0,99400835.0,416527656.0,377926172.0,236386019.0
Pandit Deendayal Petroleum University,3420,59,268834390.0,50780179.0,26525390.0,497639596.0,364702463.0,305863783.0
National Institute of Technology Srinagar,2724,187,27897740.0,118777619.0,108378638.0,543710441.0,504512131.0,501178403.0
